matricul,natcremo,mtinicre,mtsolree,dtprescc,ddmotiet,ddetatcr,lb_motietat,lb_etatcre,lb_statucre,lb_moderec,etatsdp,idnatpie,annee_cohorte
M0193,RSA,1647.25,729.51,2025-11-06,2025-09-03,2025-10-21,Erreur CAF,Clôturé,Relance,Manuel,En attente,DOC001,2025
M0194,PPA,1608.86,765.51,2025-05-29,2025-07-29,2025-03-18,Recalcul,Ouvert,Relance,Automatique,En attente,DOC002,2025
M0195,APL,1404.66,158.91,2025-08-29,2025-10-13,2025-12-15,Signalement usager,En attente,Relance,Manuel,Rejetée,DOC002,2025
M0196,APL,580.68,610.23,2025-09-29,2025-12-25,2025-05-27,Erreur CAF,En attente,En cours,Manuel,Rejetée,DOC001,2025
M0197,AAH,1200.95,135.35,2025-02-28,2025-01-13,2025-03-08,Erreur CAF,En attente,A solder,Automatique,Rejetée,DOC001,2025
M0198,ASF,753.9,751.38,2025-10-14,2025-04-06,2025-01-08,Signalement usager,Ouvert,En cours,Manuel,En attente,DOC003,2025
M0199,PPA,228.59,656.96,2025-07-21,2025-08-09,2025-05-02,Erreur CAF,Clôturé,Relance,Automatique,En attente,DOC001,2025
M0200,RSA,1838.76,956.61,2025-02-01,2025-08-26,2025-12-06,Recalcul,Clôturé,En cours,Automatique,Validée,DOC002,2025
M0201,APL,316.8,68.96,2025-06-11,2025-04-04,2025-06-24,Erreur CAF,Ouvert,Relance,Automatique,Rejetée,DOC003,2025
M0202,AAH,1902.96,57.05,2025-09-12,2025-12-04,2025-06-28,Recalcul,Ouvert,Relance,Automatique,Validée,DOC002,2025
M0203,AAH,919.71,282.19,2025-09-11,2025-09-26,2025-03-26,Recalcul,En attente,Relance,Manuel,Validée,DOC003,2025
M0204,PPA,411.01,261.71,2025-01-09,2025-06-20,2025-02-14,Erreur CAF,En attente,A solder,Automatique,Validée,DOC001,2025
M0205,APL,1106.71,246.98,2025-05-19,2025-04-04,2025-05-16,Signalement usager,Ouvert,A solder,Automatique,Validée,DOC001,2025
M0206,ASF,1752.24,906.25,2025-01-10,2025-05-29,2025-12-09,Recalcul,En attente,Relance,Automatique,Rejetée,DOC001,2025
M0207,APL,1477.84,249.55,2025-08-02,2025-04-22,2025-01-16,Signalement usager,Clôturé,En cours,Automatique,Validée,DOC002,2025
M0208,PPA,1622.79,271.95,2025-09-30,2025-02-24,2025-11-29,Erreur CAF,Ouvert,En cours,Manuel,En attente,DOC003,2025
M0209,PPA,1334.63,759.4,2025-11-20,2025-12-03,2025-07-14,Recalcul,Ouvert,A solder,Manuel,En attente,DOC002,2025
M0210,APL,1399.94,449.74,2025-02-17,2025-04-26,2025-01-09,Erreur CAF,Clôturé,Relance,Manuel,En attente,DOC003,2025
M0211,PPA,1705.93,776.71,2025-04-21,2025-05-23,2025-11-12,Signalement usager,Clôturé,En cours,Automatique,Rejetée,DOC001,2025
M0212,APL,536.85,65.37,2025-06-02,2025-07-20,2025-11-30,Erreur CAF,Clôturé,Relance,Manuel,Validée,DOC002,2025
M0213,RSA,1004.38,487.57,2025-05-03,2025-06-29,2025-11-29,Erreur CAF,En attente,En cours,Manuel,Rejetée,DOC001,2025
M0214,APL,481.36,33.61,2025-12-23,2025-07-21,2025-11-23,Recalcul,Ouvert,A solder,Automatique,Validée,DOC002,2025
M0215,APL,1975.95,62.65,2025-04-12,2025-12-30,2025-01-15,Erreur CAF,En attente,Relance,Manuel,Rejetée,DOC001,2025
M0216,PPA,1890.92,906.44,2025-08-29,2025-02-22,2025-11-23,Erreur CAF,Clôturé,Relance,Automatique,Rejetée,DOC002,2025
M0217,PPA,126.88,139.25,2025-11-17,2025-06-29,2025-04-12,Erreur CAF,En attente,En cours,Manuel,Validée,DOC002,2025
M0218,AAH,1425.87,532.42,2025-07-10,2025-11-09,2025-08-14,Recalcul,Clôturé,En cours,Manuel,Rejetée,DOC003,2025
M0219,AAH,1854.23,411.1,2025-08-05,2025-11-04,2025-10-05,Signalement usager,En attente,En cours,Manuel,Validée,DOC001,2025
M0220,RSA,402.12,347.34,2025-02-20,2025-05-17,2025-04-23,Signalement usager,En attente,Relance,Manuel,En attente,DOC003,2025
M0221,AAH,1157.49,899.83,2025-10-19,2025-07-01,2025-01-01,Erreur CAF,Clôturé,A solder,Automatique,En attente,DOC003,2025
M0222,APL,1835.2,21.82,2025-03-22,2025-01-01,2025-09-23,Recalcul,En attente,A solder,Automatique,En attente,DOC001,2025
M0223,PPA,116.19,663.79,2025-03-29,2025-02-13,2025-07-27,Erreur CAF,Ouvert,En cours,Manuel,Rejetée,DOC002,2025
M0224,AAH,1409.97,963.39,2025-07-13,2025-08-15,2025-04-20,Signalement usager,En attente,A solder,Automatique,En attente,DOC003,2025
M0225,AAH,629.83,560.17,2025-04-14,2025-11-27,2025-07-19,Recalcul,En attente,En cours,Manuel,Validée,DOC001,2025
M0226,RSA,1852.57,936.82,2025-09-28,2025-04-08,2025-11-02,Signalement usager,Ouvert,A solder,Manuel,En attente,DOC002,2025
M0227,RSA,1943.56,52.26,2025-04-06,2025-07-27,2025-01-12,Signalement usager,Clôturé,Relance,Manuel,En attente,DOC003,2025
M0228,APL,1891.32,418.79,2025-07-17,2025-09-22,2025-12-11,Recalcul,Ouvert,En cours,Manuel,Rejetée,DOC003,2025
M0229,PPA,974.72,260.16,2025-01-01,2025-10-15,2025-07-07,Recalcul,En attente,A solder,Manuel,Validée,DOC003,2025
M0230,RSA,1730.98,730.82,2025-06-16,2025-09-28,2025-06-03,Erreur CAF,Clôturé,Relance,Manuel,Rejetée,DOC002,2025
M0231,AAH,1696.87,981.3,2025-05-06,2025-05-20,2025-11-30,Erreur CAF,En attente,A solder,Automatique,Rejetée,DOC003,2025
M0232,PPA,672.25,256.53,2025-11-09,2025-08-25,2025-10-06,Signalement usager,En attente,Relance,Automatique,Validée,DOC002,2025
M0233,PPA,1666.39,654.17,2025-03-22,2025-03-13,2025-06-20,Recalcul,Ouvert,Relance,Manuel,Rejetée,DOC003,2025
M0234,AAH,122.16,198.1,2025-09-08,2025-06-04,2025-05-14,Recalcul,Ouvert,A solder,Automatique,Validée,DOC001,2025
M0235,RSA,1212.73,565.33,2025-06-18,2025-07-09,2025-01-25,Erreur CAF,Clôturé,A solder,Manuel,En attente,DOC003,2025
M0236,AAH,498.52,463.93,2025-03-14,2025-09-25,2025-01-18,Signalement usager,Clôturé,Relance,Automatique,Validée,DOC001,2025
M0237,PPA,285.11,972.01,2025-05-21,2025-11-17,2025-07-09,Signalement usager,Clôturé,Relance,Automatique,Validée,DOC001,2025
M0238,ASF,200.06,608.53,2025-03-11,2025-04-17,2025-05-21,Erreur CAF,En attente,Relance,Automatique,Validée,DOC001,2025
M0239,ASF,1407.76,349.51,2025-09-19,2025-08-20,2025-02-12,Recalcul,Ouvert,En cours,Manuel,Rejetée,DOC002,2025
M0240,APL,712.76,114.1,2025-12-06,2025-02-11,2025-11-30,Erreur CAF,Ouvert,Relance,Automatique,Validée,DOC001,2025
M0241,AAH,1463.3,151.25,2025-11-04,2025-07-09,2025-10-11,Erreur CAF,Ouvert,En cours,Manuel,Validée,DOC003,2025
M0242,AAH,177.44,225.32,2025-09-02,2025-05-19,2025-05-26,Erreur CAF,Clôturé,Relance,Manuel,Validée,DOC002,2025
M0243,APL,664.82,250.97,2025-01-03,2025-04-13,2025-11-11,Erreur CAF,Ouvert,En cours,Manuel,En attente,DOC001,2025
M0244,APL,1102.01,850.62,2025-12-03,2025-06-20,2025-11-15,Recalcul,Ouvert,Relance,Automatique,Validée,DOC002,2025
M0245,APL,1591.91,561.22,2025-03-04,2025-12-17,2025-04-02,Erreur CAF,Ouvert,Relance,Automatique,Rejetée,DOC002,2025
M0246,PPA,671.57,523.39,2025-02-18,2025-09-30,2025-06-28,Recalcul,Clôturé,Relance,Automatique,Validée,DOC002,2025
M0247,AAH,1270.49,114.77,2025-03-17,2025-08-09,2025-02-25,Erreur CAF,Ouvert,A solder,Manuel,Validée,DOC003,2025
M0248,PPA,1777.66,860.14,2025-06-24,2025-08-01,2025-06-04,Signalement usager,Clôturé,A solder,Manuel,En attente,DOC001,2025
M0249,APL,1250.93,722.81,2025-04-19,2025-12-07,2025-06-09,Recalcul,Ouvert,Relance,Automatique,Validée,DOC002,2025
M0250,AAH,504.27,67.67,2025-07-02,2025-02-25,2025-04-21,Signalement usager,Ouvert,En cours,Manuel,Rejetée,DOC002,2025
M0251,PPA,97.58,707.84,2025-07-11,2025-12-08,2025-05-17,Erreur CAF,Ouvert,En cours,Automatique,Validée,DOC002,2025
M0252,PPA,1746.69,543.54,2025-03-06,2025-04-12,2025-08-20,Erreur CAF,Clôturé,Relance,Automatique,Rejetée,DOC001,2025
M0253,APL,91.48,81.73,2025-12-03,2025-07-11,2025-08-08,Erreur CAF,Clôturé,A solder,Automatique,En attente,DOC002,2025
M0254,AAH,1755.67,458.3,2025-09-28,2025-11-06,2025-03-09,Recalcul,Ouvert,En cours,Automatique,Validée,DOC002,2025
M0255,APL,1081.43,484.7,2025-04-10,2025-07-19,2025-10-29,Signalement usager,En attente,A solder,Manuel,En attente,DOC003,2025
M0256,AAH,1881.18,165.77,2025-02-01,2025-08-21,2025-09-06,Recalcul,Clôturé,En cours,Automatique,Validée,DOC001,2025
M0257,ASF,1607.63,945.7,2025-12-18,2025-08-15,2025-11-19,Recalcul,Clôturé,Relance,Automatique,Rejetée,DOC003,2025
M0258,RSA,1995.97,849.98,2025-05-08,2025-05-19,2025-01-06,Erreur CAF,Ouvert,A solder,Automatique,En attente,DOC001,2025
M0259,RSA,733.89,669.02,2025-12-05,2025-12-10,2025-10-07,Signalement usager,En attente,En cours,Automatique,Validée,DOC001,2025
M0260,RSA,1546.02,462.3,2025-02-12,2025-11-01,2025-04-04,Erreur CAF,Ouvert,Relance,Automatique,Rejetée,DOC001,2025
M0261,APL,833.77,411.77,2025-03-19,2025-05-29,2025-09-26,Recalcul,Clôturé,Relance,Automatique,En attente,DOC003,2025
M0262,ASF,985.76,650.97,2025-11-10,2025-04-25,2025-07-16,Erreur CAF,Clôturé,Relance,Automatique,Validée,DOC003,2025
M0263,AAH,1273.64,545.43,2025-10-16,2025-03-04,2025-01-25,Signalement usager,Ouvert,A solder,Manuel,En attente,DOC003,2025
M0264,PPA,1753.67,62.27,2025-09-27,2025-04-14,2025-05-28,Erreur CAF,Ouvert,A solder,Manuel,Validée,DOC003,2025
M0265,AAH,1968.96,512.5,2025-06-11,2025-12-05,2025-04-28,Signalement usager,En attente,Relance,Manuel,Rejetée,DOC002,2025
M0266,PPA,1548.13,806.4,2025-07-08,2025-12-25,2025-12-04,Signalement usager,En attente,A solder,Manuel,Rejetée,DOC002,2025
M0267,AAH,864.65,459.24,2025-09-04,2025-06-05,2025-12-04,Erreur CAF,Clôturé,En cours,Automatique,En attente,DOC002,2025
M0268,ASF,871.65,51.96,2025-08-04,2025-09-30,2025-03-07,Recalcul,En attente,Relance,Manuel,En attente,DOC001,2025
M0269,PPA,1488.29,786.28,2025-11-11,2025-01-06,2025-10-28,Erreur CAF,En attente,Relance,Manuel,Validée,DOC002,2025
M0270,APL,515.62,201.36,2025-12-05,2025-05-27,2025-06-24,Recalcul,Clôturé,A solder,Manuel,Rejetée,DOC001,2025
M0271,AAH,265.42,258.62,2025-06-17,2025-07-03,2025-11-15,Recalcul,Clôturé,Relance,Automatique,Validée,DOC003,2025
M0272,AAH,741.51,164.71,2025-12-05,2025-01-28,2025-03-17,Erreur CAF,Clôturé,En cours,Manuel,Rejetée,DOC001,2025
M0273,PPA,610.12,330.22,2025-07-12,2025-02-07,2025-04-24,Recalcul,Clôturé,A solder,Manuel,En attente,DOC001,2025
M0274,APL,627.8,756.75,2025-10-10,2025-04-29,2025-04-21,Recalcul,Ouvert,A solder,Automatique,Validée,DOC002,2025
M0275,APL,505.54,519.39,2025-12-02,2025-10-20,2025-09-06,Erreur CAF,Clôturé,Relance,Manuel,Validée,DOC003,2025
M0276,ASF,132.08,204.88,2025-01-13,2025-09-01,2025-07-22,Erreur CAF,Clôturé,Relance,Automatique,Rejetée,DOC003,2025
M0277,APL,84.85,877.83,2025-08-28,2025-03-09,2025-05-27,Erreur CAF,Clôturé,Relance,Manuel,Rejetée,DOC002,2025
M0278,APL,1976.06,879.58,2025-11-16,2025-08-02,2025-02-04,Recalcul,En attente,A solder,Automatique,Rejetée,DOC003,2025
M0279,APL,884.16,870.58,2025-05-27,2025-08-06,2025-11-05,Signalement usager,Clôturé,Relance,Manuel,En attente,DOC003,2025
M0280,RSA,799.44,238.8,2025-07-23,2025-06-26,2025-01-26,Recalcul,Ouvert,En cours,Manuel,Validée,DOC003,2025
M0281,ASF,1375.31,451.24,2025-03-21,2025-10-26,2025-08-26,Signalement usager,Ouvert,Relance,Manuel,Rejetée,DOC002,2025
M0282,AAH,475.6,984.99,2025-02-12,2025-06-13,2025-01-14,Erreur CAF,Clôturé,Relance,Automatique,En attente,DOC003,2025
M0283,PPA,1902.42,772.01,2025-03-30,2025-02-27,2025-02-14,Signalement usager,Ouvert,A solder,Manuel,Rejetée,DOC001,2025
M0284,AAH,1583.37,27.17,2025-05-28,2025-09-26,2025-08-04,Erreur CAF,En attente,Relance,Automatique,Validée,DOC001,2025
M0285,ASF,224.35,65.2,2025-04-05,2025-11-04,2025-08-21,Erreur CAF,Clôturé,A solder,Automatique,Rejetée,DOC003,2025
M0286,PPA,864.28,463.93,2025-05-31,2025-02-27,2025-07-12,Signalement usager,Ouvert,Relance,Automatique,Validée,DOC002,2025
M0287,ASF,1764.28,909.22,2025-01-02,2025-10-15,2025-02-20,Erreur CAF,Ouvert,En cours,Automatique,En attente,DOC002,2025
M0288,APL,1892.23,538.7,2025-01-22,2025-04-15,2025-08-02,Signalement usager,Clôturé,En cours,Manuel,En attente,DOC002,2025
M0289,PPA,961.43,497.81,2025-11-09,2025-08-16,2025-05-31,Erreur CAF,Ouvert,A solder,Manuel,Rejetée,DOC003,2025
M0290,APL,1246.15,105.47,2025-11-24,2025-09-04,2025-10-02,Recalcul,Clôturé,A solder,Manuel,Validée,DOC003,2025
M0291,AAH,375.72,656.78,2025-01-07,2025-07-07,2025-12-04,Recalcul,Ouvert,Relance,Automatique,Validée,DOC001,2025
M0292,AAH,1982.78,822.1,2025-07-25,2025-03-24,2025-03-17,Erreur CAF,En attente,Relance,Manuel,Validée,DOC002,2025
M0293,PPA,501.76,380.42,2025-04-24,2025-07-05,2025-08-08,Erreur CAF,Ouvert,En cours,Automatique,Rejetée,DOC001,2025
M0294,PPA,1888.33,775.61,2025-09-29,2025-09-09,2025-12-14,Signalement usager,Ouvert,Relance,Automatique,Validée,DOC001,2025
M0295,ASF,1316.81,964.48,2025-03-24,2025-12-21,2025-07-06,Recalcul,Clôturé,En cours,Automatique,Validée,DOC002,2025
M0296,ASF,1235.09,203.77,2025-06-28,2025-08-26,2025-10-16,Signalement usager,Ouvert,A solder,Manuel,Validée,DOC003,2025
M0297,APL,1049.74,523.33,2025-07-29,2025-12-26,2025-01-28,Erreur CAF,Clôturé,Relance,Manuel,Validée,DOC003,2025
M0298,PPA,499.81,287.14,2025-11-24,2025-07-03,2025-06-29,Erreur CAF,En attente,A solder,Automatique,Rejetée,DOC001,2025
M0299,AAH,394.23,792.85,2025-05-04,2025-10-11,2025-09-10,Signalement usager,Clôturé,Relance,Manuel,Rejetée,DOC001,2025
M0300,ASF,479.95,577.59,2025-04-23,2025-07-29,2025-05-06,Erreur CAF,Clôturé,En cours,Manuel,Validée,DOC001,2025
M0301,ASF,413.55,634.58,2025-01-12,2025-10-31,2025-06-26,Recalcul,Ouvert,A solder,Automatique,Validée,DOC001,2025
M0302,AAH,1570.19,797.91,2025-05-06,2025-10-23,2025-02-06,Signalement usager,En attente,A solder,Automatique,En attente,DOC002,2025
M0303,ASF,732.74,395.97,2025-02-22,2025-04-07,2025-04-09,Recalcul,Clôturé,Relance,Manuel,En attente,DOC001,2025
M0304,APL,162.79,915.09,2025-11-27,2025-07-27,2025-04-08,Recalcul,Ouvert,A solder,Automatique,Validée,DOC001,2025
M0305,PPA,1939.75,533.03,2025-10-10,2025-05-17,2025-05-07,Recalcul,Ouvert,En cours,Automatique,Validée,DOC003,2025
M0306,AAH,1773.38,157.95,2025-05-20,2025-07-03,2025-06-17,Signalement usager,Clôturé,A solder,Manuel,En attente,DOC003,2025
M0307,PPA,1859.12,695.9,2025-04-07,2025-03-17,2025-03-21,Erreur CAF,Ouvert,A solder,Manuel,En attente,DOC003,2025
M0308,ASF,1990.07,793.26,2025-01-05,2025-10-14,2025-10-21,Recalcul,Clôturé,Relance,Automatique,Validée,DOC002,2025
M0309,ASF,389.1,316.76,2025-02-26,2025-05-22,2025-11-29,Recalcul,Clôturé,A solder,Manuel,Rejetée,DOC002,2025
M0310,AAH,822.67,857.18,2025-11-30,2025-08-25,2025-05-06,Recalcul,Clôturé,Relance,Automatique,Rejetée,DOC003,2025
M0311,APL,1528.57,906.14,2025-03-10,2025-01-25,2025-12-09,Erreur CAF,En attente,Relance,Automatique,Validée,DOC003,2025
M0312,RSA,1407.24,276.9,2025-04-28,2025-10-17,2025-11-06,Erreur CAF,Clôturé,A solder,Manuel,Validée,DOC001,2025
M0313,AAH,350.1,983.52,2025-02-28,2025-03-08,2025-05-30,Signalement usager,Ouvert,En cours,Automatique,En attente,DOC001,2025
M0314,RSA,1640.87,140.71,2025-02-02,2025-09-07,2025-01-16,Erreur CAF,En attente,Relance,Automatique,En attente,DOC002,2025
M0315,RSA,487.66,202.02,2025-11-14,2025-04-28,2025-01-28,Signalement usager,Ouvert,A solder,Automatique,Rejetée,DOC002,2025
M0316,APL,486.44,184.22,2025-02-19,2025-03-14,2025-06-22,Signalement usager,En attente,Relance,Manuel,Validée,DOC001,2025
M0317,RSA,1097.1,893.99,2025-01-19,2025-10-09,2025-02-15,Signalement usager,En attente,En cours,Manuel,En attente,DOC003,2025
M0318,RSA,1206.23,654.29,2025-08-02,2025-12-26,2025-11-24,Signalement usager,En attente,En cours,Manuel,Rejetée,DOC001,2025
M0319,APL,1181.17,152.1,2025-07-16,2025-01-10,2025-08-24,Signalement usager,En attente,Relance,Automatique,Rejetée,DOC002,2025
M0320,RSA,228.4,440.32,2025-02-16,2025-07-30,2025-08-02,Recalcul,Ouvert,En cours,Automatique,Rejetée,DOC002,2025
M0321,RSA,1761.05,615.3,2025-06-16,2025-11-19,2025-03-26,Erreur CAF,Clôturé,A solder,Manuel,En attente,DOC001,2025
M0322,RSA,567.92,83.46,2025-10-16,2025-06-01,2025-10-09,Recalcul,Ouvert,A solder,Manuel,En attente,DOC001,2025
M0323,AAH,302.55,882.42,2025-05-21,2025-01-05,2025-08-20,Signalement usager,Clôturé,Relance,Manuel,Validée,DOC001,2025
M0324,AAH,1783.06,803.6,2025-03-25,2025-07-14,2025-03-26,Erreur CAF,Ouvert,En cours,Automatique,Validée,DOC002,2025
M0325,AAH,1913.52,505.21,2025-07-01,2025-10-10,2025-03-06,Recalcul,En attente,A solder,Manuel,Rejetée,DOC003,2025
M0326,APL,1731.15,967.13,2025-03-20,2025-04-23,2025-05-14,Recalcul,En attente,A solder,Automatique,Rejetée,DOC001,2025
M0327,ASF,1628.56,417.76,2025-08-03,2025-09-28,2025-05-31,Signalement usager,Clôturé,A solder,Manuel,En attente,DOC002,2025
M0328,RSA,1327.72,984.11,2025-01-14,2025-06-12,2025-04-25,Recalcul,Clôturé,Relance,Automatique,En attente,DOC002,2025
M0329,RSA,1124.17,667.92,2025-08-03,2025-04-15,2025-03-05,Recalcul,Ouvert,Relance,Automatique,Validée,DOC002,2025
M0330,APL,219.62,634.67,2025-05-08,2025-06-30,2025-12-09,Recalcul,Clôturé,A solder,Manuel,Validée,DOC001,2025
M0331,RSA,846.48,165.95,2025-11-06,2025-02-13,2025-12-29,Recalcul,Ouvert,A solder,Automatique,Validée,DOC001,2025
M0332,AAH,776.74,881.93,2025-09-05,2025-10-09,2025-12-18,Recalcul,Clôturé,En cours,Manuel,En attente,DOC003,2025
M0333,ASF,556.52,427.49,2025-01-29,2025-06-24,2025-06-07,Signalement usager,Clôturé,En cours,Automatique,Rejetée,DOC002,2025
M0334,PPA,1460.67,162.23,2025-10-07,2025-06-11,2025-03-18,Signalement usager,Clôturé,En cours,Automatique,Validée,DOC001,2025
M0335,RSA,1016.96,12.61,2025-12-04,2025-12-17,2025-05-26,Recalcul,En attente,Relance,Manuel,Validée,DOC002,2025
M0336,AAH,208.04,559.76,2025-11-15,2025-12-06,2025-12-09,Signalement usager,En attente,A solder,Automatique,En attente,DOC002,2025
M0337,PPA,479.36,527.4,2025-07-21,2025-05-20,2025-08-13,Signalement usager,Ouvert,Relance,Manuel,Validée,DOC003,2025
M0338,ASF,1382.35,719.35,2025-12-27,2025-05-12,2025-11-09,Erreur CAF,Clôturé,A solder,Manuel,Rejetée,DOC001,2025
M0339,PPA,198.46,890.26,2025-02-26,2025-03-28,2025-04-13,Recalcul,Ouvert,En cours,Manuel,En attente,DOC001,2025
M0340,AAH,1709.85,79.41,2025-08-06,2025-06-25,2025-12-13,Signalement usager,Clôturé,En cours,Automatique,Validée,DOC002,2025
M0341,PPA,1015.54,731.5,2025-03-03,2025-07-02,2025-10-28,Signalement usager,En attente,En cours,Automatique,Validée,DOC002,2025
M0342,APL,987.14,187.41,2025-06-06,2025-05-09,2025-03-29,Recalcul,En attente,En cours,Automatique,En attente,DOC003,2025
M0343,PPA,1205.2,858.18,2025-07-21,2025-09-03,2025-10-30,Erreur CAF,Clôturé,A solder,Manuel,En attente,DOC003,2025
M0344,RSA,1658.13,819.06,2025-01-17,2025-03-30,2025-06-17,Recalcul,Clôturé,En cours,Manuel,Validée,DOC003,2025
M0345,RSA,728.23,540.79,2025-11-18,2025-03-07,2025-06-19,Erreur CAF,En attente,A solder,Automatique,Rejetée,DOC003,2025
M0346,APL,1372.13,710.24,2025-01-06,2025-06-07,2025-05-15,Recalcul,En attente,A solder,Automatique,En attente,DOC003,2025
M0347,AAH,1153.18,314.35,2025-02-27,2025-05-29,2025-02-19,Recalcul,Ouvert,Relance,Manuel,Rejetée,DOC003,2025
M0348,RSA,570.71,471.17,2025-11-21,2025-12-06,2025-12-06,Recalcul,En attente,En cours,Automatique,Validée,DOC002,2025
M0349,ASF,1763.33,821.64,2025-11-14,2025-04-26,2025-12-13,Recalcul,Clôturé,En cours,Manuel,Rejetée,DOC003,2025
M0350,RSA,1604.98,459.27,2025-06-18,2025-08-02,2025-05-14,Erreur CAF,Ouvert,Relance,Automatique,Validée,DOC002,2025
M0351,RSA,1333.98,357.8,2025-03-23,2025-10-21,2025-12-13,Erreur CAF,Clôturé,A solder,Manuel,Validée,DOC002,2025
M0352,AAH,1708.63,494.21,2025-08-07,2025-09-10,2025-05-17,Signalement usager,Ouvert,En cours,Automatique,Validée,DOC001,2025
M0353,PPA,1741.22,828.25,2025-06-26,2025-05-23,2025-09-02,Recalcul,Clôturé,A solder,Automatique,Validée,DOC002,2025
M0354,RSA,1431.31,335.21,2025-07-23,2025-09-07,2025-04-19,Erreur CAF,En attente,Relance,Manuel,Rejetée,DOC002,2025
M0355,APL,1682.18,173.76,2025-03-12,2025-10-29,2025-11-09,Erreur CAF,Clôturé,A solder,Manuel,Validée,DOC003,2025
M0356,PPA,1410.07,712.01,2025-09-23,2025-01-25,2025-10-14,Erreur CAF,Ouvert,En cours,Manuel,Validée,DOC002,2025
M0357,ASF,1376.27,825.98,2025-04-08,2025-10-04,2025-01-21,Recalcul,Clôturé,A solder,Automatique,Rejetée,DOC003,2025
M0358,AAH,1256.29,100.64,2025-12-11,2025-03-11,2025-03-31,Signalement usager,Ouvert,A solder,Manuel,En attente,DOC003,2025
M0359,ASF,1517.8,239.87,2025-10-18,2025-04-23,2025-10-23,Erreur CAF,Clôturé,En cours,Manuel,Rejetée,DOC003,2025
M0360,PPA,359.28,141.97,2025-07-27,2025-12-29,2025-04-22,Recalcul,En attente,En cours,Automatique,Rejetée,DOC001,2025
M0361,PPA,1767.7,347.94,2025-01-02,2025-04-22,2025-10-28,Erreur CAF,En attente,A solder,Manuel,Rejetée,DOC003,2025
M0362,PPA,1750.09,450.35,2025-05-04,2025-12-30,2025-03-18,Erreur CAF,Clôturé,A solder,Manuel,Validée,DOC002,2025
M0363,ASF,107.03,748.83,2025-10-07,2025-10-30,2025-06-26,Signalement usager,Clôturé,Relance,Manuel,Validée,DOC003,2025
M0364,PPA,1660.34,651.15,2025-03-15,2025-04-01,2025-12-09,Erreur CAF,Clôturé,En cours,Automatique,Validée,DOC003,2025
M0365,ASF,301.3,620.93,2025-06-15,2025-01-18,2025-05-28,Erreur CAF,Ouvert,A solder,Automatique,En attente,DOC003,2025
M0366,PPA,703.48,352.37,2025-01-22,2025-05-29,2025-04-11,Recalcul,Clôturé,En cours,Automatique,Validée,DOC001,2025
M0367,APL,1499.84,841.45,2025-06-03,2025-08-15,2025-09-03,Recalcul,Clôturé,Relance,Manuel,En attente,DOC002,2025
M0368,PPA,363.48,471.29,2025-10-22,2025-08-02,2025-04-27,Signalement usager,Ouvert,A solder,Automatique,Validée,DOC001,2025
M0369,ASF,1645.04,979.1,2025-08-07,2025-12-26,2025-04-02,Recalcul,En attente,A solder,Manuel,Rejetée,DOC002,2025
M0370,RSA,1672.66,634.14,2025-06-06,2025-05-31,2025-01-28,Recalcul,Clôturé,A solder,Manuel,Validée,DOC001,2025
M0371,PPA,1039.56,126.26,2025-08-18,2025-07-11,2025-01-25,Signalement usager,Clôturé,En cours,Manuel,En attente,DOC002,2025
M0372,RSA,62.45,676.18,2025-01-20,2025-02-09,2025-02-27,Erreur CAF,En attente,Relance,Automatique,En attente,DOC001,2025
M0373,APL,609.72,325.1,2025-02-10,2025-08-30,2025-10-24,Signalement usager,En attente,En cours,Automatique,Validée,DOC003,2025
M0374,AAH,1253.01,686.33,2025-05-28,2025-05-18,2025-05-14,Recalcul,Ouvert,A solder,Manuel,Rejetée,DOC001,2025
M0375,APL,1963.31,69.64,2025-04-18,2025-12-11,2025-11-27,Signalement usager,Clôturé,Relance,Manuel,Validée,DOC001,2025
M0376,PPA,1282.04,174.88,2025-03-25,2025-06-29,2025-09-06,Erreur CAF,Clôturé,A solder,Automatique,Validée,DOC003,2025
M0377,RSA,556.62,855.74,2025-11-18,2025-07-19,2025-02-07,Signalement usager,Ouvert,A solder,Automatique,Validée,DOC003,2025
M0378,RSA,1286.31,227.18,2025-11-05,2025-07-22,2025-03-16,Recalcul,En attente,En cours,Automatique,Rejetée,DOC002,2025
M0379,ASF,1102.97,837.04,2025-10-17,2025-03-02,2025-05-22,Recalcul,Ouvert,A solder,Manuel,En attente,DOC002,2025
M0380,RSA,1570.7,279.28,2025-11-19,2025-07-11,2025-11-18,Signalement usager,En attente,Relance,Automatique,Rejetée,DOC002,2025
M0381,ASF,258.61,642.88,2025-05-14,2025-01-05,2025-06-17,Erreur CAF,Ouvert,A solder,Automatique,En attente,DOC001,2025
M0382,AAH,1534.0,694.15,2025-07-26,2025-08-25,2025-09-16,Signalement usager,En attente,A solder,Automatique,En attente,DOC002,2025
M0383,PPA,1105.47,512.65,2025-10-10,2025-06-30,2025-12-21,Erreur CAF,Ouvert,En cours,Manuel,En attente,DOC001,2025
M0384,ASF,1927.83,305.31,2025-09-23,2025-11-07,2025-08-13,Erreur CAF,En attente,Relance,Automatique,Rejetée,DOC001,2025
M0385,AAH,716.65,212.64,2025-03-14,2025-02-06,2025-06-01,Signalement usager,En attente,En cours,Manuel,Validée,DOC002,2025
M0386,RSA,1283.61,33.19,2025-12-18,2025-02-25,2025-01-19,Erreur CAF,En attente,A solder,Manuel,Validée,DOC002,2025
